16,9375,     -6,    -34,     57,  -1114,  -6728,   8059,     11,    349,    226,    241,    246,  50831,  50016,  50664,      4,      0, -99989,      0,  87795,  93480,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
17,10000,     -3,    -40,     59,    397,  -7663,   7519,      8,    365,    227,    241,    247,  50839,  50016,  50675,      4,      0, -99989,      0,  87815,  93475,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
18,10625,     -3,    -34,     54,   1581,  -8099,   6791,      3,    375,    227,    241,    247,  50839,  50016,  50675,      4,      0, -99989,      0,  87815,  93475,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
19,11250,     21,    -36,     30,   2962,  -8273,   5596,      8,    384,    227,    241,    247,  50839,  50016,  50675,      4,      0, -99989,      0,  87815,  93475,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
20,11875,     58,    -45,      2,   4782,  -8239,   3737,      0,    391,    227,    241,    247,  50839,  50016,  50675,      4,      0, -99989,      0,  87815,  93475,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
21,12500,     46,    -45,     13,   6448,  -8045,   1860,      1,    386,    227,    241,    247,  50839,  50016,  50675,      4,      0, -99989,      0,  87815,  93475,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
22,13125,     44,    -46,     16,   7577,  -7591,    257,      0,    375,    227,    241,    247,  50839,  50016,  50675,      4,      0, -99989,      0,  87815,  93475,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
23,13750,     46,    -44,     11,   8119,  -6925,   -986,     -3,    356,    227,    241,    247,  50839,  50016,  50675,      4,      0, -99989,      0,  87815,  93475,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
24,14375,     40,    -28,      2,   8372,  -5984,  -2216,      0,    340,    227,    241,    247,  50839,  50016,  50675,      4,      0, -99989,      0,  87815,  93475,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
25,15000,     49,      4,    -40,   8399,  -4303,  -3967,     -6,    315,    227,    241,    247,  50839,  50016,  50675,      4,      0, -99989,      0,  87815,  93475,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
26,15625,     52,      4,    -43,   8233,  -2395,  -5766,     -2,    290,    227,    241,    247,  50839,  50016,  50675,      4,      0, -99989,      0,  87815,  93475,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
27,16250,     52,     -2,    -33,   7857,   -717,  -7127,     -5,    256,    227,    241,    247,  50839,  50016,  50675,      4,      0, -99989,      0,  87815,  93475,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
28,16875,     52,      1,    -40,   7188,    638,  -7874,     -4,    212,    227,    241,    247,  50839,  50016,  50675,      4,      0, -99989,      0,  87815,  93475,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
29,17500,     45,      2,    -33,   6354,   1792,  -8265,     -1,    171,    227,    241,    247,  50839,  50016,  50675,      4,      0, -99989,      0,  87815,  93475,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
30,18125,     13,     40,    -39,   4863,   3373,  -8420,     -8,    134,    227,    241,    247,  50839,  50016,  50675,      4,      0, -99989,      0,  87815,  93475,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
